session_id,created_at_kst,date,hour,device,source,utm,cbti_type,landing_url,referer,app_version,n_cafe_clicks,n_direction_clicks,n_map_clicks,n_filter_clicks,n_share_clicks,n_search_queries,n_enter_list,n_feedback,is_admin
7d935590-f513-484f-834f-4c18e0932028,2026-06-13 19:13,2026-06-13,19,mobile,direct,admin,,https://cafe-seat-mvp.vercel.app/?utm=admin,,v2,0,0,0,0,0,0,0,0,TRUE
c593a873-ae75-49c2-a4f7-e6afa375847e,2026-06-14 16:21,2026-06-14,16,mobile,direct,general_share,,https://cafe-seat-mvp.vercel.app/?utm=general_share,,v2,0,1,1,0,0,0,0,0,FALSE
9a82158c-daa3-4c82-ba9a-a9626ee27cc6,2026-06-14 16:23,2026-06-14,16,mobile,direct,general_share,,https://cafe-seat-mvp.vercel.app/?utm=general_share,,v2,0,0,0,0,0,0,0,0,FALSE
265771a0-0d3e-492d-9d03-35bf2835637d,2026-06-15 11:14,2026-06-15,11,desktop,direct,admin,,https://cafe-seat-mvp.vercel.app/?utm=admin,,v2,0,0,0,0,0,0,0,0,TRUE
f7a69f4a-ac31-4abc-9b76-f2a7d35b9b2c,2026-06-15 11:14,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,5,0,0,0,0,0,0,0,FALSE
6213cb13-4d45-4f7e-8afb-e39c5c777a21,2026-06-15 11:15,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,0,0,0,0,0,0,FALSE
8b38ed4c-75ff-4ea5-96c7-05d9b68e057c,2026-06-15 11:15,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,0,0,0,0,0,0,FALSE
846318de-dc88-421e-bb9f-101e9116f417,2026-06-15 11:15,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,2,0,0,0,0,0,0,0,FALSE
34af800d-9de1-4551-b27a-5c47516e2df9,2026-06-15 11:16,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,1,0,0,0,0,0,0,0,FALSE
01449962-eb94-4691-bfac-6f4a7bade0e9,2026-06-15 11:18,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,0,0,0,0,0,0,FALSE
f6efc40a-0efd-475c-bb26-3d0bcc002dce,2026-06-15 11:19,2026-06-15,11,desktop,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,1,0,0,0,0,0,0,0,FALSE
1567be25-75fc-45ce-877c-0092e6da0997,2026-06-15 11:21,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,1,0,0,0,0,0,0,0,FALSE
195cac82-619e-4dbd-8d1f-848e7bf5d1db,2026-06-15 11:21,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,0,0,0,0,0,0,FALSE
6724c34f-c255-49c0-ba22-f4b899052dd5,2026-06-15 11:24,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,0,0,0,0,0,0,FALSE
05224195-323d-49a1-a2db-2881b10daaf4,2026-06-15 11:26,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,0,0,0,0,0,0,FALSE
822c3a40-4a6d-4f54-a4df-1878f4ab6765,2026-06-15 11:28,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,1,0,3,0,0,0,0,0,FALSE
f2fc39d7-b961-4076-805b-611f74171afc,2026-06-15 11:39,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,0,0,0,0,0,0,FALSE
004da32e-4f24-4d90-95d1-3b9ac68f9df1,2026-06-15 11:46,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,0,0,0,0,0,0,FALSE
6d7f8b97-52fa-45eb-af86-9140a9a9acc8,2026-06-15 11:50,2026-06-15,11,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,0,0,0,0,0,0,FALSE
83c5563b-9645-443c-8e13-046508086083,2026-06-15 12:03,2026-06-15,12,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,2,0,0,0,0,0,0,0,FALSE
30c7ba3b-ecb4-421d-8dc5-0321e44c0c05,2026-06-15 12:12,2026-06-15,12,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,1,0,1,0,0,0,0,0,FALSE
900b94ce-4691-4df0-9f6c-25d24e8047a4,2026-06-15 12:18,2026-06-15,12,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,0,0,0,0,0,0,FALSE
08d1543e-ee53-4cb7-a814-5fb29cf67a8f,2026-06-15 12:22,2026-06-15,12,desktop,direct,admin,,https://cafe-seat-mvp.vercel.app/?utm=admin,,v2,0,0,0,0,0,1,0,0,TRUE
002fc1a5-f6ac-4a64-a3a6-b8cc459dc662,2026-06-15 12:24,2026-06-15,12,desktop,direct,admin,,https://cafe-seat-mvp.vercel.app/?utm=admin,,v2,0,0,0,0,0,0,0,0,TRUE
1fd9ef3d-5c16-472c-b4cd-892a81710958,2026-06-15 12:30,2026-06-15,12,desktop,direct,admin,,https://cafe-seat-mvp.vercel.app/?utm=admin,,v2,0,0,0,0,0,0,0,0,TRUE
dc94d792-4e63-4ca8-8933-6b38648d34c4,2026-06-15 12:31,2026-06-15,12,desktop,direct,admin,,https://cafe-seat-mvp.vercel.app/?utm=admin,,v2,0,0,0,0,0,0,0,1,TRUE
01c9eeed-b0c8-4f45-90b6-7bf2a3bf0306,2026-06-15 12:31,2026-06-15,12,desktop,direct,,,https://cafe-seat-dppj6baap-deukmo-lee-s-projects.vercel.app/,,v2,0,0,0,0,0,0,0,0,FALSE
716a279c-ed4b-41ea-90dd-98f6958c25a9,2026-06-15 12:55,2026-06-15,12,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,0,0,0,0,0,0,FALSE
960eef0c-7bda-480a-8903-9de6b16a2d7d,2026-06-15 13:05,2026-06-15,13,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,0,0,0,0,0,0,FALSE
7f815102-7d3d-4283-a4db-245e1b500a1f,2026-06-15 13:27,2026-06-15,13,desktop,direct,admin,,https://cafe-seat-mvp.vercel.app/?utm=admin,,v2,2,2,0,0,0,0,0,0,TRUE
640babd3-30a6-4cca-a0e9-25f528dffab3,2026-06-15 13:27,2026-06-15,13,desktop,direct,admin,,https://cafe-seat-mvp.vercel.app/?utm=admin,,v2,1,1,0,0,0,0,0,0,TRUE
00f18a1e-16a7-49ce-886c-6906b0277b81,2026-06-15 13:27,2026-06-15,13,desktop,direct,admin,,https://cafe-seat-mvp.vercel.app/?utm=admin,,v2,3,2,0,0,0,0,0,0,TRUE
d166938c-0d2e-4a77-8f15-ac32ad552905,2026-06-15 16:46,2026-06-15,16,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,0,0,0,0,1,0,FALSE
047a7717-44c3-4845-a423-5197b79c83e1,2026-06-15 20:00,2026-06-15,20,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,2,0,1,0,0,0,1,0,FALSE
6e6bf995-df6b-40fa-96fe-e4c522f082c9,2026-06-15 21:32,2026-06-15,21,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,2,0,0,0,1,0,FALSE
7601a4ca-c6f6-40a2-be9c-8ba9810751d4,2026-06-15 21:48,2026-06-15,21,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,1,0,0,0,1,0,FALSE
93f60901-561c-49ed-81b3-934eb684fd3b,2026-06-16 1:18,2026-06-16,1,mobile,direct,everytime,,https://cafe-seat-mvp.vercel.app/?utm=everytime,https://everytime.kr/,v2,0,0,1,0,0,1,1,0,FALSE
